types,counts,totalunique,probs
Gee,5,1058,0.0
Gorge,5,1058,0.0
Gottlieb,5,1058,0.0
Gregorio,5,1058,0.0
Gregory,5,1058,0.0
Gustavus,5,1058,0.0
Halsey,5,1058,0.0
Handy,5,1058,0.0
Hardie,5,1058,0.0
Harl,5,1058,0.0
Hayden,5,1058,0.0
Hays,5,1058,0.0
Hermon,5,1058,0.0
Hershel,5,1058,0.0
Holly,5,1058,0.0
Hosteen,5,1058,0.0
Hoyt,5,1058,0.0
Hudson,5,1058,0.0
Huey,5,1058,0.0
Humphrey,5,1058,0.0
Hunt,5,1058,0.0
Hyrum,5,1058,0.0
Irven,5,1058,0.0
Isam,5,1058,0.0
Ivy,5,1058,0.0
Jabez,5,1058,0.0
Jewel,5,1058,0.0
Jodie,5,1058,0.0
Judd,5,1058,0.0
Julious,5,1058,0.0
Justice,5,1058,0.0
Katherine,5,1058,0.0
Kelly,5,1058,0.0
Kit,5,1058,0.0
Knute,5,1058,0.0
Lavern,5,1058,0.0
Lawyer,5,1058,0.0
Layton,5,1058,0.0
Leonidas,5,1058,0.0
Lewie,5,1058,0.0
Lillie,5,1058,0.0
Linwood,5,1058,0.0
Loran,5,1058,0.0
Lorin,5,1058,0.0
Mace,5,1058,0.0
Malcom,5,1058,0.0
Manly,5,1058,0.0
Manson,5,1058,0.0
Matthias,5,1058,0.0
Mattie,5,1058,0.0
Merida,5,1058,0.0
Miner,5,1058,0.0
Montgomery,5,1058,0.0
Moroni,5,1058,0.0
Murdock,5,1058,0.0
Myrtle,5,1058,0.0
Nate,5,1058,0.0
Nathanial,5,1058,0.0
Nimrod,5,1058,0.0
Nora,5,1058,0.0
Norval,5,1058,0.0
Nova,5,1058,0.0
Orion,5,1058,0.0
Orla,5,1058,0.0
Orrie,5,1058,0.0
Payton,5,1058,0.0
Philo,5,1058,0.0
Phineas,5,1058,0.0
Presley,5,1058,0.0
Ransom,5,1058,0.0
Reece,5,1058,0.0
Rene,5,1058,0.0
Roswell,5,1058,0.0
Rowland,5,1058,0.0
Sampson,5,1058,0.0
Samual,5,1058,0.0
Santos,5,1058,0.0
Schuyler,5,1058,0.0
Sheppard,5,1058,0.0
Spurgeon,5,1058,0.0
Starling,5,1058,0.0
Sylvanus,5,1058,0.0
Theadore,5,1058,0.0
Theophile,5,1058,0.0
Tilmon,5,1058,0.0
Tommy,5,1058,0.0
Unknown,5,1058,0.0
Vann,5,1058,0.0
Wes,5,1058,0.0
Winston,5,1058,0.0
Wood,5,1058,0.0
Woodie,5,1058,0.0
Worthy,5,1058,0.0
Wright,5,1058,0.0
York,5,1058,0.0
Zachariah,5,1058,0.0
