types,counts,probs,total_unique
Michael,81973,0.04716418253947705,4746
David,63681,0.03663965340168639,4746
John,60904,0.03504187199912545,4746
James,60664,0.03490378502159047,4746
Robert,58181,0.03347516016650988,4746
William,36926,0.02124583221856867,4746
Mark,35402,0.02036897991122158,4746
Richard,32975,0.01897257535089915,4746
Christopher,31467,0.018104928842054387,4746
Brian,29921,0.01721541856176659,4746
Jeffrey,28369,0.01632245610704042,4746
Thomas,27420,0.015776437183370875,4746
Timothy,26498,0.015245953044674014,4746
Scott,26027,0.014974957351261626,4746
Steven,25492,0.01466713846383991,4746
Joseph,25394,0.01461075294801313,4746
Kevin,23865,0.01373102382863406,4746
Daniel,22015,0.012666603376801963,4746
Paul,21867,0.012581449740655396,4746
Charles,21571,0.01241114246836226,4746
Anthony,20228,0.011638430756572796,4746
Eric,18501,0.010644779880727373,4746
Kenneth,18079,0.010401976945228375,4746
Matthew,15825,0.009105110081212404,4746
Ronald,15414,0.00886863613218376,4746
Gregory,15397,0.008858854971275032,4746
Stephen,14761,0.008492924480807348,4746
Todd,14658,0.00843366215294859,4746
Donald,13361,0.007687417111853329,4746
Patrick,13058,0.007513082302715423,4746
Edward,12279,0.0070648749881331505,4746
Gary,11974,0.006889389454182453,4746
Douglas,11410,0.0065648850569752625,4746
Andrew,10562,0.006076977736351684,4746
Keith,9865,0.005675950139093861,4746
George,9380,0.005396899371991933,4746
Sean,9175,0.005278950078680809,4746
Larry,8233,0.004736958691856033,4746
Peter,8121,0.004672518102339711,4746
Troy,7977,0.004589665915818726,4746
Craig,7862,0.004523499239083218,4746
Rodney,7507,0.004319245584812734,4746
Shawn,7478,0.004302560075027257,4746
Jerry,7447,0.00428472384042899,4746
Dennis,7402,0.004258832532141182,4746
Jeffery,7224,0.004156418023802743,4746
Jason,7148,0.004112690480916667,4746
Terry,7090,0.004079319461345715,4746
Frank,6892,0.0039653977048793605,4746
Raymond,6885,0.003961370168034591,4746
Bryan,6255,0.0035988918520052818,4746
Tony,5876,0.003380829499981301,4746
Jonathan,5806,0.0033405541315336,4746
Randy,5707,0.0032835932533004228,4746
Roger,5185,0.0029832540771618523,4746
Russell,5097,0.0029326221853990283,4746
Bradley,4803,0.002763465637918684,4746
Jose,4793,0.0027577120138547267,4746
Carl,4644,0.002671983015301763,4746
Darren,4641,0.002670256928082576,4746
Bruce,4486,0.002581075755091238,4746
Gerald,4477,0.0025758974934336765,4746
Wayne,4254,0.002447591676807429,4746
Chris,4250,0.002445290227181846,4746
Jon,4207,0.0024205496437068297,4746
Samuel,4120,0.0023704931143504015,4746
Lawrence,4097,0.0023572597790033,4746
Martin,4075,0.002344601806062594,4746
Johnny,4053,0.002331943833121888,4746
Ricky,4036,0.00232216267221316,4746
Phillip,3986,0.0022933945518933737,4746
Danny,3983,0.0022916684646741865,4746
Vincent,3982,0.0022910931022677907,4746
Alan,3977,0.0022882162902358124,4746
Curtis,3854,0.002217446714249138,4746
Billy,3813,0.0021938568555869126,4746
Jimmy,3811,0.0021927061307741216,4746
Dean,3799,0.0021858017818973726,4746
Randall,3750,0.002157609023983982,4746
Joel,3683,0.002119059742755468,4746
Bobby,3629,0.0020879901728100988,4746
Philip,3621,0.002083387273558933,4746
Walter,3589,0.0020649756765542698,4746
Marc,3538,0.0020356321938280876,4746
Joe,3525,0.002028152482544943,4746
Darrell,3446,0.0019826988524396802,4746
Jay,3428,0.0019723423291245572,4746
Aaron,3426,0.0019711916043117657,4746
Steve,3408,0.0019608350809966427,4746
Jeff,3279,0.0018866133305715938,4746
Dale,3256,0.0018733799952244921,4746
Glenn,3245,0.0018670510087541391,4746
Mike,3216,0.001850365498968663,4746
Roy,3178,0.0018285017275256252,4746
Henry,3129,0.0018003089696122345,4746
Willie,3109,0.00178880172148432,4746
Kelly,3058,0.0017594582387581378,4746
Arthur,3042,0.001750252440255806,4746
Benjamin,3017,0.0017358683800959129,4746
Allen,2963,0.0017047988101505436,4746
Victor,2942,0.0016927161996162332,4746
Albert,2919,0.0016794828642691315,4746
Brent,2918,0.0016789075018627357,4746
Chad,2917,0.00167833213945634,4746
Brett,2900,0.0016685509785476127,4746
Lee,2870,0.0016512901063557408,4746
Barry,2855,0.001642659670259805,4746
Harold,2835,0.0016311524221318903,4746
Louis,2708,0.0015580813965196329,4746
Jack,2690,0.0015477248732045097,4746
