types,counts,totalunique,probs
Reed,6,1097,0.0001
Rob,6,1097,0.0001
Roe,6,1097,0.0001
Rogers,6,1097,0.0001
Rube,6,1097,0.0001
Shannon,6,1097,0.0001
Stacy,6,1097,0.0001
Stonewall,6,1097,0.0001
Sylvanus,6,1097,0.0001
Theophile,6,1097,0.0001
Thos,6,1097,0.0001
Virge,6,1097,0.0001
Vivian,6,1097,0.0001
Watson,6,1097,0.0001
Wheeler,6,1097,0.0001
Zenas,6,1097,0.0001
Zollie,6,1097,0.0001
Ada,5,1097,0.0
Albion,5,1097,0.0
Alcide,5,1097,0.0
Alden,5,1097,0.0
Alejandro,5,1097,0.0
Alf,5,1097,0.0
Ammon,5,1097,0.0
Ancel,5,1097,0.0
Archer,5,1097,0.0
Armand,5,1097,0.0
Atha,5,1097,0.0
Audie,5,1097,0.0
Ballard,5,1097,0.0
Bee,5,1097,0.0
Bernie,5,1097,0.0
Bertrand,5,1097,0.0
Blair,5,1097,0.0
Boyce,5,1097,0.0
Bradford,5,1097,0.0
Brent,5,1097,0.0
Burdette,5,1097,0.0
Cal,5,1097,0.0
Cameron,5,1097,0.0
Carrie,5,1097,0.0
