types,counts,totalunique,probs
John,8756,1097,0.0812
William,8044,1097,0.0746
James,5175,1097,0.048
George,4674,1097,0.0434
Charles,4599,1097,0.0427
Frank,3067,1097,0.0285
Joseph,2540,1097,0.0236
Henry,2406,1097,0.0223
Robert,2322,1097,0.0215
Thomas,2266,1097,0.021
Edward,2220,1097,0.0206
Harry,2198,1097,0.0204
Walter,1808,1097,0.0168
Fred,1562,1097,0.0145
Arthur,1516,1097,0.0141
Albert,1429,1097,0.0133
Clarence,906,1097,0.0084
Samuel,888,1097,0.0082
Louis,809,1097,0.0075
Grover,768,1097,0.0071
Ernest,718,1097,0.0067
David,712,1097,0.0066
Charlie,705,1097,0.0065
Roy,691,1097,0.0064
Joe,681,1097,0.0063
Richard,672,1097,0.0062
Will,625,1097,0.0058
Oscar,623,1097,0.0058
Willie,614,1097,0.0057
Andrew,599,1097,0.0056
Jesse,556,1097,0.0052
Daniel,535,1097,0.005
Peter,516,1097,0.0048
Carl,494,1097,0.0046
Sam,492,1097,0.0046
Earl,481,1097,0.0045
Frederick,466,1097,0.0043
Benjamin,464,1097,0.0043
Alfred,446,1097,0.0041
Elmer,443,1097,0.0041
Howard,438,1097,0.0041
Lewis,437,1097,0.0041
Paul,428,1097,0.004
Ralph,422,1097,0.0039
Herbert,388,1097,0.0036
Jim,370,1097,0.0034
Michael,370,1097,0.0034
Tom,361,1097,0.0033
Martin,357,1097,0.0033
Lee,348,1097,0.0032
Eugene,345,1097,0.0032
Claude,343,1097,0.0032
Jacob,343,1097,0.0032
Ed,328,1097,0.003
Herman,326,1097,0.003
Francis,319,1097,0.003
Clyde,318,1097,0.0029
Raymond,308,1097,0.0029
Harvey,304,1097,0.0028
Edgar,303,1097,0.0028
Jack,295,1097,0.0027
Ben,292,1097,0.0027
Edwin,289,1097,0.0027
Lawrence,288,1097,0.0027
Charley,285,1097,0.0026
Bert,276,1097,0.0026
Chester,273,1097,0.0025
Guy,266,1097,0.0025
Otto,263,1097,0.0024
Floyd,259,1097,0.0024
Luther,259,1097,0.0024
Oliver,258,1097,0.0024
Hugh,257,1097,0.0024
Ray,237,1097,0.0022
Ira,235,1097,0.0022
Homer,228,1097,0.0021
Patrick,217,1097,0.002
Alexander,205,1097,0.0019
Isaac,204,1097,0.0019
Leonard,204,1097,0.0019
Jessie,202,1097,0.0019
Harold,201,1097,0.0019
Leo,199,1097,0.0018
Theodore,199,1097,0.0018
Archie,196,1097,0.0018
August,193,1097,0.0018
Allen,184,1097,0.0017
Sidney,170,1097,0.0016
Philip,163,1097,0.0015
Leroy,162,1097,0.0015
Bernard,160,1097,0.0015
Alex,159,1097,0.0015
Stephen,158,1097,0.0015
Horace,155,1097,0.0014
Anthony,153,1097,0.0014
Warren,151,1097,0.0014
Julius,150,1097,0.0014
Cleveland,147,1097,0.0014
Leon,146,1097,0.0014
Victor,143,1097,0.0013
Eddie,141,1097,0.0013
Lester,141,1097,0.0013
Marion,141,1097,0.0013
Clifford,139,1097,0.0013
Emil,138,1097,0.0013
Willis,133,1097,0.0012
Milton,130,1097,0.0012
Dan,129,1097,0.0012
Dave,128,1097,0.0012
Everett,128,1097,0.0012
Alvin,125,1097,0.0012
Leslie,122,1097,0.0011
Earnest,120,1097,0.0011
Calvin,119,1097,0.0011
Jess,119,1097,0.0011
Norman,118,1097,0.0011
Rufus,118,1097,0.0011
Franklin,117,1097,0.0011
Jerry,115,1097,0.0011
Perry,115,1097,0.0011
Amos,114,1097,0.0011
Dennis,112,1097,0.001
Jose,111,1097,0.001
Matthew,111,1097,0.001
Melvin,110,1097,0.001
Lloyd,109,1097,0.001
Ross,109,1097,0.001
Wesley,108,1097,0.001
Wallace,107,1097,0.001
Alonzo,104,1097,0.001
Mack,104,1097,0.001
Nathan,103,1097,0.001
Adolph,102,1097,0.0009
Emmett,101,1097,0.0009
Jake,100,1097,0.0009
Morris,99,1097,0.0009
Percy,98,1097,0.0009
Roscoe,98,1097,0.0009
Claud,97,1097,0.0009
Stanley,97,1097,0.0009
Adam,96,1097,0.0009
Cornelius,96,1097,0.0009
Maurice,96,1097,0.0009
Willard,95,1097,0.0009
Russell,94,1097,0.0009
Elbert,92,1097,0.0009
Hiram,92,1097,0.0009
Wilbur,92,1097,0.0009
Irvin,91,1097,0.0008
Jay,91,1097,0.0008
Manuel,90,1097,0.0008
Otis,89,1097,0.0008
Aaron,88,1097,0.0008
Cecil,87,1097,0.0008
Gus,87,1097,0.0008
Jasper,87,1097,0.0008
Phillip,87,1097,0.0008
Abraham,86,1097,0.0008
Mike,84,1097,0.0008
Nelson,83,1097,0.0008
Simon,83,1097,0.0008
Clinton,82,1097,0.0008
Elijah,82,1097,0.0008
Sylvester,82,1097,0.0008
Virgil,82,1097,0.0008
Felix,80,1097,0.0007
Levi,79,1097,0.0007
Orville,79,1097,0.0007
Ellis,78,1097,0.0007
Irving,78,1097,0.0007
Marshall,78,1097,0.0007
Gilbert,77,1097,0.0007
Ollie,77,1097,0.0007
Noah,76,1097,0.0007
Wiley,76,1097,0.0007
Anton,74,1097,0.0007
Lonnie,74,1097,0.0007
Mark,74,1097,0.0007
Moses,74,1097,0.0007
Silas,73,1097,0.0007
Hubert,72,1097,0.0007
Reuben,72,1097,0.0007
Christopher,71,1097,0.0007
Johnnie,71,1097,0.0007
Max,71,1097,0.0007
Vernon,71,1097,0.0007
Curtis,70,1097,0.0006
Owen,70,1097,0.0006
Rudolph,70,1097,0.0006
Augustus,69,1097,0.0006
Cleve,69,1097,0.0006
Clayton,68,1097,0.0006
Edmund,68,1097,0.0006
Glenn,68,1097,0.0006
Bill,66,1097,0.0006
Nicholas,66,1097,0.0006
Marvin,65,1097,0.0006
Sherman,65,1097,0.0006
Timothy,64,1097,0.0006
Jeff,63,1097,0.0006
Millard,63,1097,0.0006
Fredrick,62,1097,0.0006
Newton,61,1097,0.0006
Elias,60,1097,0.0006
Steve,60,1097,0.0006
Dock,59,1097,0.0005
Grant,59,1097,0.0005
Wilson,59,1097,0.0005
Ora,58,1097,0.0005
Riley,58,1097,0.0005
Solomon,58,1097,0.0005
Pearl,57,1097,0.0005
Bruce,56,1097,0.0005
Eli,56,1097,0.0005
Joel,56,1097,0.0005
Pete,56,1097,0.0005
Andy,55,1097,0.0005
Christian,55,1097,0.0005
Gustave,55,1097,0.0005
Austin,54,1097,0.0005
Clifton,54,1097,0.0005
Juan,54,1097,0.0005
Monroe,54,1097,0.0005
Nathaniel,54,1097,0.0005
Wade,54,1097,0.0005
Jerome,53,1097,0.0005
Bob,52,1097,0.0005
Miles,52,1097,0.0005
Scott,52,1097,0.0005
Bennie,51,1097,0.0005
Edd,51,1097,0.0005
Harley,51,1097,0.0005
Chris,50,1097,0.0005
Luke,50,1097,0.0005
Mose,50,1097,0.0005
Julian,49,1097,0.0005
Gordon,48,1097,0.0004
Preston,48,1097,0.0004
Roland,48,1097,0.0004
Vincent,48,1097,0.0004
Abe,47,1097,0.0004
Donald,47,1097,0.0004
Alva,46,1097,0.0004
Byron,46,1097,0.0004
Clark,45,1097,0.0004
Glen,45,1097,0.0004
Harrison,45,1097,0.0004
Bud,44,1097,0.0004
Karl,44,1097,0.0004
Marcus,44,1097,0.0004
Asa,43,1097,0.0004
Barney,43,1097,0.0004
Enoch,43,1097,0.0004
Joshua,43,1097,0.0004
Louie,43,1097,0.0004
Anderson,42,1097,0.0004
Delbert,42,1097,0.0004
Columbus,41,1097,0.0004
Emery,41,1097,0.0004
Ike,41,1097,0.0004
Kenneth,41,1097,0.0004
Matt,41,1097,0.0004
Boyd,40,1097,0.0004
Cyrus,40,1097,0.0004
Jeremiah,40,1097,0.0004
Conrad,39,1097,0.0004
Lucius,39,1097,0.0004
Elisha,38,1097,0.0004
Jefferson,38,1097,0.0004
Lon,38,1097,0.0004
Mary,38,1097,0.0004
Nick,38,1097,0.0004
Van,38,1097,0.0004
Chas,37,1097,0.0003
Major,37,1097,0.0003
Wilfred,37,1097,0.0003
Edmond,36,1097,0.0003
Ferdinand,36,1097,0.0003
Forrest,36,1097,0.0003
General,36,1097,0.0003
Porter,36,1097,0.0003
Don,35,1097,0.0003
Ervin,35,1097,0.0003
Clem,34,1097,0.0003
Emory,34,1097,0.0003
Garfield,34,1097,0.0003
Hugo,34,1097,0.0003
Mathew,34,1097,0.0003
Seth,34,1097,0.0003
Arnold,33,1097,0.0003
Hans,33,1097,0.0003
Johnie,33,1097,0.0003
Laurence,33,1097,0.0003
Neal,33,1097,0.0003
Tony,33,1097,0.0003
Ulysses,33,1097,0.0003
Winfield,33,1097,0.0003
Abner,32,1097,0.0003
Ambrose,32,1097,0.0003
Burton,32,1097,0.0003
Emanuel,32,1097,0.0003
Frederic,32,1097,0.0003
Green,32,1097,0.0003
Logan,32,1097,0.0003
Lemuel,31,1097,0.0003
Ole,31,1097,0.0003
Arch,30,1097,0.0003
Douglas,30,1097,0.0003
Dwight,30,1097,0.0003
Forest,30,1097,0.0003
Jonathan,30,1097,0.0003
Alton,29,1097,0.0003
Isaiah,29,1097,0.0003
Jackson,29,1097,0.0003
Lyman,29,1097,0.0003
Mitchell,29,1097,0.0003
Vern,29,1097,0.0003
Carlos,28,1097,0.0003
Dee,28,1097,0.0003
Dudley,28,1097,0.0003
Elwood,28,1097,0.0003
Francisco,28,1097,0.0003
Gustav,28,1097,0.0003
Royal,28,1097,0.0003
Ruben,28,1097,0.0003
Smith,28,1097,0.0003
Antonio,27,1097,0.0003
Dick,27,1097,0.0003
Freeman,27,1097,0.0003
Lorenzo,27,1097,0.0003
Roger,27,1097,0.0003
Benjiman,26,1097,0.0002
Carroll,26,1097,0.0002
Erwin,26,1097,0.0002
Isiah,26,1097,0.0002
Ivan,26,1097,0.0002
Merle,26,1097,0.0002
Morgan,26,1097,0.0002
Napoleon,26,1097,0.0002
Ned,26,1097,0.0002
Neil,26,1097,0.0002
Sol,26,1097,0.0002
Taylor,26,1097,0.0002
Alphonse,25,1097,0.0002
Archibald,25,1097,0.0002
Chauncey,25,1097,0.0002
Dale,25,1097,0.0002
Foster,25,1097,0.0002
Jimmie,25,1097,0.0002
King,25,1097,0.0002
Lucian,25,1097,0.0002
Lynn,25,1097,0.0002
Pink,25,1097,0.0002
Sydney,25,1097,0.0002
Adolphus,24,1097,0.0002
Berry,24,1097,0.0002
Enos,24,1097,0.0002
Ezra,24,1097,0.0002
Fletcher,24,1097,0.0002
Hosea,24,1097,0.0002
Loyd,24,1097,0.0002
Wayne,24,1097,0.0002
Wilbert,24,1097,0.0002
Alvah,23,1097,0.0002
Christ,23,1097,0.0002
Earle,23,1097,0.0002
Evan,23,1097,0.0002
Gerald,23,1097,0.0002
Granville,23,1097,0.0002
Jonas,23,1097,0.0002
Josh,23,1097,0.0002
Lafayette,23,1097,0.0002
Leland,23,1097,0.0002
Pat,23,1097,0.0002
Pedro,23,1097,0.0002
Spencer,23,1097,0.0002
Walker,23,1097,0.0002
Ward,23,1097,0.0002
Wm,23,1097,0.0002
Arther,22,1097,0.0002
Casper,22,1097,0.0002
Israel,22,1097,0.0002
Raleigh,22,1097,0.0002
Sanford,22,1097,0.0002
Sim,22,1097,0.0002
Stewart,22,1097,0.0002
Wilber,22,1097,0.0002
Davis,21,1097,0.0002
Johnny,21,1097,0.0002
Milo,21,1097,0.0002
Murray,21,1097,0.0002
Myron,21,1097,0.0002
Olaf,21,1097,0.0002
Prince,21,1097,0.0002
Randolph,21,1097,0.0002
Rollie,21,1097,0.0002
Steven,21,1097,0.0002
Washington,21,1097,0.0002
Anna,20,1097,0.0002
Blaine,20,1097,0.0002
Burt,20,1097,0.0002
Dallas,20,1097,0.0002
Emmet,20,1097,0.0002
Gene,20,1097,0.0002
Loren,20,1097,0.0002
Madison,20,1097,0.0002
Nels,20,1097,0.0002
Orin,20,1097,0.0002
Wilford,20,1097,0.0002
Zack,20,1097,0.0002
Allan,19,1097,0.0002
Allie,19,1097,0.0002
Bertram,19,1097,0.0002
Clint,19,1097,0.0002
Dewitt,19,1097,0.0002
Emile,19,1097,0.0002
Ernst,19,1097,0.0002
Harmon,19,1097,0.0002
Larry,19,1097,0.0002
Merritt,19,1097,0.0002
Sandy,19,1097,0.0002
Bryant,18,1097,0.0002
Buck,18,1097,0.0002
Carlton,18,1097,0.0002
Clay,18,1097,0.0002
Elmore,18,1097,0.0002
Fay,18,1097,0.0002
Guss,18,1097,0.0002
Judson,18,1097,0.0002
Lem,18,1097,0.0002
Lew,18,1097,0.0002
Olin,18,1097,0.0002
Omer,18,1097,0.0002
Otho,18,1097,0.0002
Ramon,18,1097,0.0002
Sterling,18,1097,0.0002
Troy,18,1097,0.0002
Wash,18,1097,0.0002
Abram,17,1097,0.0002
Addison,17,1097,0.0002
Al,17,1097,0.0002
Burl,17,1097,0.0002
Cary,17,1097,0.0002
Coleman,17,1097,0.0002
Elzie,17,1097,0.0002
Emerson,17,1097,0.0002
Fritz,17,1097,0.0002
Gerhard,17,1097,0.0002
Isom,17,1097,0.0002
Issac,17,1097,0.0002
Jean,17,1097,0.0002
Jordan,17,1097,0.0002
Josiah,17,1097,0.0002
Noble,17,1097,0.0002
Orval,17,1097,0.0002
Rex,17,1097,0.0002
Shirley,17,1097,0.0002
Tomas,17,1097,0.0002
Truman,17,1097,0.0002
Waldo,17,1097,0.0002
Warner,17,1097,0.0002
Adelbert,16,1097,0.0001
Albin,16,1097,0.0001
Axel,16,1097,0.0001
Caleb,16,1097,0.0001
Ellsworth,16,1097,0.0001
Eric,16,1097,0.0001
Jason,16,1097,0.0001
Jonah,16,1097,0.0001
Judge,16,1097,0.0001
Leander,16,1097,0.0001
Lenard,16,1097,0.0001
Lige,16,1097,0.0001
Orlando,16,1097,0.0001
Pablo,16,1097,0.0001
Reginald,16,1097,0.0001
Tim,16,1097,0.0001
Valentine,16,1097,0.0001
Wilmer,16,1097,0.0001
Aloysius,15,1097,0.0001
Bartholomew,15,1097,0.0001
Benjaman,15,1097,0.0001
Billie,15,1097,0.0001
Cicero,15,1097,0.0001
Early,15,1097,0.0001
Elza,15,1097,0.0001
Erastus,15,1097,0.0001
Giles,15,1097,0.0001
Gust,15,1097,0.0001
Hal,15,1097,0.0001
Hardy,15,1097,0.0001
Kelly,15,1097,0.0001
Mason,15,1097,0.0001
Nat,15,1097,0.0001
Omar,15,1097,0.0001
Pierce,15,1097,0.0001
Verne,15,1097,0.0001
Angus,14,1097,0.0001
Antone,14,1097,0.0001
Basil,14,1097,0.0001
Bennett,14,1097,0.0001
Buster,14,1097,0.0001
Clair,14,1097,0.0001
Cliff,14,1097,0.0001
Dell,14,1097,0.0001
Dolphus,14,1097,0.0001
Duncan,14,1097,0.0001
Elmo,14,1097,0.0001
Emma,14,1097,0.0001
Harris,14,1097,0.0001
Jesus,14,1097,0.0001
Kirby,14,1097,0.0001
Lamar,14,1097,0.0001
Len,14,1097,0.0001
Lucien,14,1097,0.0001
Malcolm,14,1097,0.0001
Oren,14,1097,0.0001
Phil,14,1097,0.0001
Thaddeus,14,1097,0.0001
Webster,14,1097,0.0001
Ashley,13,1097,0.0001
Bertha,13,1097,0.0001
Beverly,13,1097,0.0001
Carey,13,1097,0.0001
Elliott,13,1097,0.0001
Ethel,13,1097,0.0001
Everette,13,1097,0.0001
Evert,13,1097,0.0001
Gideon,13,1097,0.0001
Hayes,13,1097,0.0001
Henderson,13,1097,0.0001
Henery,13,1097,0.0001
Houston,13,1097,0.0001
Johnson,13,1097,0.0001
Jones,13,1097,0.0001
Jules,13,1097,0.0001
Lou,13,1097,0.0001
Lyle,13,1097,0.0001
Mat,13,1097,0.0001
Mathias,13,1097,0.0001
Pleasant,13,1097,0.0001
Rodney,13,1097,0.0001
Stuart,13,1097,0.0001
Turner,13,1097,0.0001
Wilburn,13,1097,0.0001
Wylie,13,1097,0.0001
Adrian,12,1097,0.0001
Alpha,12,1097,0.0001
Augustine,12,1097,0.0001
Avery,12,1097,0.0001
Benedict,12,1097,0.0001
Bishop,12,1097,0.0001
Brown,12,1097,0.0001
Butler,12,1097,0.0001
Cyril,12,1097,0.0001
Doc,12,1097,0.0001
Elvin,12,1097,0.0001
Florence,12,1097,0.0001
Frances,12,1097,0.0001
Garland,12,1097,0.0001
Heber,12,1097,0.0001
Helmer,12,1097,0.0001
Irwin,12,1097,0.0001
Lacy,12,1097,0.0001
Lawson,12,1097,0.0001
Lonzo,12,1097,0.0001
Merton,12,1097,0.0001
Mervin,12,1097,0.0001
Mont,12,1097,0.0001
Norris,12,1097,0.0001
Perley,12,1097,0.0001
Ransom,12,1097,0.0001
Santiago,12,1097,0.0001
Tommie,12,1097,0.0001
Tracy,12,1097,0.0001
Vance,12,1097,0.0001
Alford,11,1097,0.0001
Aron,11,1097,0.0001
Artie,11,1097,0.0001
Aubrey,11,1097,0.0001
Bertie,11,1097,0.0001
Brooks,11,1097,0.0001
Colonel,11,1097,0.0001
Emmitt,11,1097,0.0001
Ephraim,11,1097,0.0001
Freddie,11,1097,0.0001
Gabriel,11,1097,0.0001
Junius,11,1097,0.0001
Lincoln,11,1097,0.0001
Lucious,11,1097,0.0001
Luis,11,1097,0.0001
Marcellus,11,1097,0.0001
Margaret,11,1097,0.0001
Micheal,11,1097,0.0001
Mortimer,11,1097,0.0001
Price,11,1097,0.0001
Rolla,11,1097,0.0001
Rowland,11,1097,0.0001
Rupert,11,1097,0.0001
Saul,11,1097,0.0001
Travis,11,1097,0.0001
Wellington,11,1097,0.0001
Williams,11,1097,0.0001
Alan,10,1097,0.0001
Allison,10,1097,0.0001
Alma,10,1097,0.0001
Almon,10,1097,0.0001
Ashby,10,1097,0.0001
Bart,10,1097,0.0001
Benton,10,1097,0.0001
Birt,10,1097,0.0001
Byrd,10,1097,0.0001
Carter,10,1097,0.0001
Dean,10,1097,0.0001
Ewing,10,1097,0.0001
Ezekiel,10,1097,0.0001
Godfrey,10,1097,0.0001
Harlan,10,1097,0.0001
Haywood,10,1097,0.0001
Herschel,10,1097,0.0001
Hunter,10,1097,0.0001
Isadore,10,1097,0.0001
Lafe,10,1097,0.0001
Larkin,10,1097,0.0001
Melville,10,1097,0.0001
Merrill,10,1097,0.0001
Miguel,10,1097,0.0001
Octave,10,1097,0.0001
Olen,10,1097,0.0001
Orrin,10,1097,0.0001
Quincy,10,1097,0.0001
Seymour,10,1097,0.0001
Shelby,10,1097,0.0001
Simeon,10,1097,0.0001
Ted,10,1097,0.0001
Thad,10,1097,0.0001
Tobe,10,1097,0.0001
West,10,1097,0.0001
Worley,10,1097,0.0001
Young,10,1097,0.0001
Alec,9,1097,0.0001
Alice,9,1097,0.0001
Angelo,9,1097,0.0001
Annie,9,1097,0.0001
Anson,9,1097,0.0001
Arley,9,1097,0.0001
Arlie,9,1097,0.0001
Art,9,1097,0.0001
Benny,9,1097,0.0001
Bradley,9,1097,0.0001
Budd,9,1097,0.0001
Cap,9,1097,0.0001
Carleton,9,1097,0.0001
Carson,9,1097,0.0001
Clement,9,1097,0.0001
Dana,9,1097,0.0001
Dayton,9,1097,0.0001
Denis,9,1097,0.0001
Eldon,9,1097,0.0001
Elige,9,1097,0.0001
Elizabeth,9,1097,0.0001
Fernando,9,1097,0.0001
Finis,9,1097,0.0001
Ford,9,1097,0.0001
Garrett,9,1097,0.0001
Hampton,9,1097,0.0001
Harper,9,1097,0.0001
Harvy,9,1097,0.0001
Hector,9,1097,0.0001
Hezekiah,9,1097,0.0001
Hollis,9,1097,0.0001
Jodie,9,1097,0.0001
Jule,9,1097,0.0001
Justin,9,1097,0.0001
Kirk,9,1097,0.0001
Leopold,9,1097,0.0001
Lowell,9,1097,0.0001
Manley,9,1097,0.0001
Milford,9,1097,0.0001
Minor,9,1097,0.0001
Nicolas,9,1097,0.0001
Okey,9,1097,0.0001
Pierre,9,1097,0.0001
Pleas,9,1097,0.0001
Reece,9,1097,0.0001
Richmond,9,1097,0.0001
Rome,9,1097,0.0001
Rose,9,1097,0.0001
Rubin,9,1097,0.0001
Terence,9,1097,0.0001
Terry,9,1097,0.0001
Tillman,9,1097,0.0001
Tolbert,9,1097,0.0001
Toney,9,1097,0.0001
Wendell,9,1097,0.0001
Willam,9,1097,0.0001
Winfred,9,1097,0.0001
Wright,9,1097,0.0001
Wyatt,9,1097,0.0001
Alonza,8,1097,0.0001
Alvie,8,1097,0.0001
Andres,8,1097,0.0001
Barry,8,1097,0.0001
Barton,8,1097,0.0001
Baxter,8,1097,0.0001
Billy,8,1097,0.0001
Brice,8,1097,0.0001
Burley,8,1097,0.0001
Burr,8,1097,0.0001
Campbell,8,1097,0.0001
Claire,8,1097,0.0001
Clare,8,1097,0.0001
Cleo,8,1097,0.0001
Cooper,8,1097,0.0001
Coy,8,1097,0.0001
Crawford,8,1097,0.0001
Dalton,8,1097,0.0001
Danial,8,1097,0.0001
Dorsey,8,1097,0.0001
Earley,8,1097,0.0001
Egbert,8,1097,0.0001
Eldridge,8,1097,0.0001
Elzy,8,1097,0.0001
Fate,8,1097,0.0001
Ferd,8,1097,0.0001
Fielding,8,1097,0.0001
Finley,8,1097,0.0001
Gaston,8,1097,0.0001
Gertrude,8,1097,0.0001
Guadalupe,8,1097,0.0001
Hamilton,8,1097,0.0001
Harve,8,1097,0.0001
Hermon,8,1097,0.0001
Howell,8,1097,0.0001
Ivory,8,1097,0.0001
June,8,1097,0.0001
Lemon,8,1097,0.0001
Levy,8,1097,0.0001
Llewellyn,8,1097,0.0001
Ludwig,8,1097,0.0001
Matthias,8,1097,0.0001
Maxwell,8,1097,0.0001
Miller,8,1097,0.0001
Morton,8,1097,0.0001
Noel,8,1097,0.0001
Nora,8,1097,0.0001
Norton,8,1097,0.0001
Orange,8,1097,0.0001
Palmer,8,1097,0.0001
Park,8,1097,0.0001
Reese,8,1097,0.0001
Roderick,8,1097,0.0001
Rolland,8,1097,0.0001
Sampson,8,1097,0.0001
Sanders,8,1097,0.0001
Shelton,8,1097,0.0001
Spurgeon,8,1097,0.0001
Sumner,8,1097,0.0001
Theo,8,1097,0.0001
Thurman,8,1097,0.0001
Verner,8,1097,0.0001
Wayman,8,1097,0.0001
Webb,8,1097,0.0001
Wilton,8,1097,0.0001
Adolf,7,1097,0.0001
Alois,7,1097,0.0001
Bailey,7,1097,0.0001
Bascom,7,1097,0.0001
Benjamine,7,1097,0.0001
Bessie,7,1097,0.0001
Bonnie,7,1097,0.0001
Brady,7,1097,0.0001
Bruno,7,1097,0.0001
Burney,7,1097,0.0001
Burrell,7,1097,0.0001
Cassius,7,1097,0.0001
Clemens,7,1097,0.0001
Cloyd,7,1097,0.0001
Connie,7,1097,0.0001
Cornelious,7,1097,0.0001
Davie,7,1097,0.0001
Dillard,7,1097,0.0001
Earlie,7,1097,0.0001
Elie,7,1097,0.0001
Ellen,7,1097,0.0001
Enrique,7,1097,0.0001
Ephriam,7,1097,0.0001
Epifanio,7,1097,0.0001
Erick,7,1097,0.0001
Essie,7,1097,0.0001
Eustace,7,1097,0.0001
Fayette,7,1097,0.0001
Garner,7,1097,0.0001
Gary,7,1097,0.0001
Gee,7,1097,0.0001
Geo,7,1097,0.0001
Glover,7,1097,0.0001
Hallie,7,1097,0.0001
Hamp,7,1097,0.0001
Hosteen,7,1097,0.0001
Hyrum,7,1097,0.0001
Isidor,7,1097,0.0001
Julia,7,1097,0.0001
Junior,7,1097,0.0001
Junious,7,1097,0.0001
Lark,7,1097,0.0001
Laurance,7,1097,0.0001
Leigh,7,1097,0.0001
Lindsey,7,1097,0.0001
Love,7,1097,0.0001
Lum,7,1097,0.0001
Mabel,7,1097,0.0001
Malachi,7,1097,0.0001
Marshal,7,1097,0.0001
Newell,7,1097,0.0001
Newt,7,1097,0.0001
Obie,7,1097,0.0001
Odie,7,1097,0.0001
Orley,7,1097,0.0001
Ossie,7,1097,0.0001
Percival,7,1097,0.0001
Purl,7,1097,0.0001
Roman,7,1097,0.0001
Sarah,7,1097,0.0001
Shade,7,1097,0.0001
Soloman,7,1097,0.0001
Squire,7,1097,0.0001
Starling,7,1097,0.0001
Tommy,7,1097,0.0001
Unknown,7,1097,0.0001
Vernie,7,1097,0.0001
Watt,7,1097,0.0001
Wilhelm,7,1097,0.0001
Wong,7,1097,0.0001
Woodie,7,1097,0.0001
Ab,6,1097,0.0001
Abel,6,1097,0.0001
Algie,6,1097,0.0001
Almond,6,1097,0.0001
Alpheus,6,1097,0.0001
Antoine,6,1097,0.0001
Asbury,6,1097,0.0001
Asher,6,1097,0.0001
Authur,6,1097,0.0001
Berton,6,1097,0.0001
Braxton,6,1097,0.0001
Burnett,6,1097,0.0001
Chancy,6,1097,0.0001
Chesley,6,1097,0.0001
Clara,6,1097,0.0001
Cleave,6,1097,0.0001
Clell,6,1097,0.0001
Colin,6,1097,0.0001
Colon,6,1097,0.0001
Constantine,6,1097,0.0001
Curt,6,1097,0.0001
Delmar,6,1097,0.0001
Dempsey,6,1097,0.0001
Dennie,6,1097,0.0001
Dominic,6,1097,0.0001
Dominick,6,1097,0.0001
Eben,6,1097,0.0001
Eber,6,1097,0.0001
Eliga,6,1097,0.0001
Ella,6,1097,0.0001
Ellie,6,1097,0.0001
Emiliano,6,1097,0.0001
Ernie,6,1097,0.0001
Fleet,6,1097,0.0001
Fleming,6,1097,0.0001
Franklyn,6,1097,0.0001
Garnett,6,1097,0.0001
Hayden,6,1097,0.0001
Helen,6,1097,0.0001
Hervey,6,1097,0.0001
Hobart,6,1097,0.0001
Holly,6,1097,0.0001
Hoyt,6,1097,0.0001
Ida,6,1097,0.0001
Ivey,6,1097,0.0001
Josephine,6,1097,0.0001
Josephus,6,1097,0.0001
Justus,6,1097,0.0001
Lambert,6,1097,0.0001
Laverne,6,1097,0.0001
Lillard,6,1097,0.0001
Lillie,6,1097,0.0001
Lim,6,1097,0.0001
Lindsay,6,1097,0.0001
Linton,6,1097,0.0001
Lonie,6,1097,0.0001
Lucas,6,1097,0.0001
Mahlon,6,1097,0.0001
Mannie,6,1097,0.0001
Mart,6,1097,0.0001
Math,6,1097,0.0001
Maude,6,1097,0.0001
Merlin,6,1097,0.0001
Milan,6,1097,0.0001
Mills,6,1097,0.0001
Minnie,6,1097,0.0001
Nellie,6,1097,0.0001
Newman,6,1097,0.0001
Nim,6,1097,0.0001
Norbert,6,1097,0.0001
North,6,1097,0.0001
Orla,6,1097,0.0001
Orland,6,1097,0.0001
Orlo,6,1097,0.0001
Orson,6,1097,0.0001
Orvis,6,1097,0.0001
Osborne,6,1097,0.0001
Ottis,6,1097,0.0001
Paris,6,1097,0.0001
Parker,6,1097,0.0001
Ples,6,1097,0.0001
Rafael,6,1097,0.0001
Reason,6,1097,0.0001
