types,counts,probs,total_unique
Liam,20802,0.012227666668234166,14149
Noah,18995,0.011165490258778386,14149
Oliver,14741,0.008664937715433123,14149
James,11670,0.0068597668502207824,14149
Elijah,11452,0.006731623819085553,14149
Mateo,11229,0.006600541727603185,14149
Theodore,11041,0.006490033058550785,14149
Henry,10941,0.006431251851608018,14149
Lucas,10842,0.0063730584567346805,14149
William,10598,0.006229632311794331,14149
Benjamin,10172,0.005979224370218149,14149
Levi,9347,0.00549427941294033,14149
Sebastian,8865,0.005210953995476198,14149
Jack,8683,0.005103972198840364,14149
Ezra,8437,0.00495937042976116,14149
Michael,8383,0.004927628578012067,14149
Daniel,8356,0.0049117576521375194,14149
Leo,8120,0.004773034003752593,14149
Owen,7985,0.004693679374379858,14149
Samuel,7973,0.004686625629546726,14149
Hudson,7935,0.004664288770908475,14149
Alexander,7875,0.0046290200467428155,14149
Asher,7853,0.004616088181215407,14149
Luca,7770,0.004567299779452911,14149
Ethan,7763,0.004563185094966918,14149
John,7750,0.004555543538064358,14149
David,7354,0.004322769958571005,14149
Jackson,7284,0.004281623113711069,14149
Joseph,7237,0.0042539959464479695,14149
Mason,7237,0.0042539959464479695,14149
Luke,7217,0.004242239705059416,14149
Matthew,7190,0.004226368779184869,14149
Julian,7078,0.004160533827408971,14149
Dylan,7054,0.004146426337742708,14149
Elias,6980,0.004102928244605061,14149
Jacob,6976,0.00410057699632735,14149
Maverick,6962,0.004092347627355363,14149
Gabriel,6745,0.003964792408289561,14149
Logan,6686,0.003930111496193329,14149
Aiden,6675,0.003923645563429625,14149
Thomas,6598,0.003878384034083695,14149
Isaac,6581,0.003868391228903425,14149
Miles,6558,0.0038548715513065887,14149
Grayson,6449,0.003790800035738974,14149
Santiago,6328,0.003719674775338227,14149
Anthony,6237,0.00366618387702031,14149
Wyatt,6237,0.00366618387702031,14149
Carter,5847,0.003436937169943523,14149
Jayden,5627,0.003307618514669438,14149
